ESD Code,ESD Name,District-County Code,District name,School Code,School name,Lowest Grade,Highest Grade,Physical AddressLine1,Physical City,Physical State,Physical ZipCode,phone,School Type
18801,Olympic Educational Service District 114,18402,South Kitsap School District,2650,Orchard Heights Elementary,K ,6,2288 FIRCREST DR SE,PORT ORCHARD,Washington,98366-0000,360.443.3530,Public School
17801,Puget Sound Educational Service District 121,27400,Clover Park School District,2651,Tillicum Elementary School,PK,5,8514 Maple ST SW,Lakewood,Washington,98498-2398,253.583.5370,Public School
17801,Puget Sound Educational Service District 121,27400,Clover Park School District,2652,Lakeview Elementary,PK,5,10501 47th AVE SW,Lakewood,Washington,98499-3712,253.583.5320,Public School
32801,Educational Service District 101,32361,East Valley School District (Spokane),2653,Trent Elementary,PK,6,3303 N PINES RD,SPOKANE VALLEY,Washington,99206-4612,509.924.2622,Public School
11801,Educational Service District 123,3400,Richland School District,2656,Marcus Whitman Elementary,K ,5,1704 Gray,Richland,Washington,99352-0000,509.967.6300,Public School
11801,Educational Service District 123,3400,Richland School District,2657,Lewis & Clark Elementary School,PK,5,800 Downing,Richland,Washington,99352-0000,509.967.9275,Public School
17801,Puget Sound Educational Service District 121,17408,Auburn School District,2659,Terminal Park Elementary School,K ,5,1101 D ST SE,AUBURN,Washington,98002-6013,253.931.4978,Public School
18801,Olympic Educational Service District 114,23403,North Mason School District,2662,Belfair Elementary,K ,5,NE 22900 Hwy 3,Belfair,Washington,98528-0000,360.277.2231,Public School
32801,Educational Service District 101,33036,Chewelah School District,2664,Gess Elementary,K ,5,E. 405 Lincoln,Chewelah,Washington,99109-0000,509.685.6800 ext.84001,Public School
6801,Educational Service District 112,8122,Longview School District,2665,Broadway Learning Center,PK,PK,1410 8th Avenue,Longview,Washington,98632-3807,360.575.7429,Special Education School
4801,North Central Educational Service District 171,9013,Orondo School District,2666,Orondo Elementary and Middle School,PK,7,100 ORONDO SCHOOL ROAD,ORONDO,Washington,98843-9723,509.784.1333,Public School
17801,Puget Sound Educational Service District 121,17001,Seattle Public Schools,2667,View Ridge Elementary School,PK,5,7047 50 AV NE,SEATTLE,Washington,98115-6127,(206) 252-5600,Public School
32801,Educational Service District 101,22207,Davenport School District,2668,Davenport Elementary,PK,6,601 WASHINGTON STREET,DAVENPORT,Washington,99122-0000,(509) 725-261 ,Public School
29801,Northwest Educational Service District 189,31002,Everett School District,2669,Madison Elementary,PK,5,616 Pecks Dr,Everett,Washington,98203-4403,425.385.5900,Public School
6801,Educational Service District 112,6119,Battle Ground School District,2671,Amboy Middle School,5,8,22115 NE CHELATCHIE RD,AMBOY,Washington,98601-0000,360.885.6050,Public School
4801,North Central Educational Service District 171,13301,Grand Coulee Dam School District,2672,Grand Coulee Dam Middle School,5,8,512 Federal Ave,GRAND COULEE,Washington,99133-0000,509.633.1520,Public School
4801,North Central Educational Service District 171,13161,Moses Lake School District,2673,Frontier Middle School,6,8,517 WEST THIRD AVENUE,MOSES LAKE,Washington,98837-0000,(509) 766-662 ,Public School
6801,Educational Service District 112,20400,Trout Lake School District,2676,Trout Lake School,5,12,2310 Hwy 141,Trout Lake,Washington,98650-0000,(509) 395-2571,Public School
39801,Educational Service District 105,20404,Goldendale School District,2677,Goldendale Primary School,K ,4,820 S. SCHUSTER ST,GOLDENDALE,Washington,98620-9038,(509) 773-5111,Public School
34801,Educational Service District 113,21214,Morton School District,2678,Morton Elementary School,PK,6,400 W MAIN AVE,MORTON,Washington,98356-0060,(360) 496-5143,Public School
4801,North Central Educational Service District 171,24404,Tonasket School District,2679,Tonasket High School,9,12,35HS HIGHWAY 20,TONASKET,Washington,98855-0000,509.486.2161,Public School
17801,Puget Sound Educational Service District 121,27401,Peninsula School District,2681,Peninsula High School,9,12,14105 Purdy Dr NW,Gig Harbor,Washington,98332-8627,253.530.4400,Public School
6801,Educational Service District 112,30303,Stevenson-Carson School District,2682,Stevenson Elementary,K ,2,100 NW School Street,Stevenson,Washington,98648-0000,509.427.5672,Public School
29801,Northwest Educational Service District 189,37506,Nooksack Valley School District,2687,Nooksack Valley Middle School,6,8,404 W. Columbia St.,Everson,Washington,98247-0000,360.966.7561,Public School
4801,North Central Educational Service District 171,4127,Entiat School District,2688,Paul Rumburg Elementary,PK,5,2650 ENTIAT WAY,ENTIAT,Washington,98822-0000,509.784.1314,Public School
4801,North Central Educational Service District 171,4129,Lake Chelan School District,2689,Morgen Owings Elementary School,K ,5,407 E Woodin,Chelan,Washington,98816-0000,509.682.4031,Public School
6801,Educational Service District 112,6037,Vancouver School District,2690,Hazel Dell Elementary School,K ,5,511 NE ANDERSON RD,VANCOUVER,Washington,98665-8313,360.313.2050,Public School
6801,Educational Service District 112,8458,Kelso School District,2691,Catlin Elementary,K ,5,404 Long Ave.,Kelso,Washington,98626-0000,360.501.1550,Public School
4801,North Central Educational Service District 171,13151,Coulee-Hartline School District,2693,Coulee City Elementary,K ,5,410 W LOCUST,COULEE CITY,Washington,99115-0000,509.632.5231,Public School
4801,North Central Educational Service District 171,13156,Soap Lake School District,2694,Soap Lake Elementary,K ,5,410 Ginkgo St S,SOAP LAKE,Washington,98851-0000,509.246.1323,Public School
4801,North Central Educational Service District 171,13165,Ephrata School District,2695,Parkway School,5,6,1011 PARKWAY BLVD,EPHRATA,Washington,98823-0000,509.754.9729,Public School
29801,Northwest Educational Service District 189,15201,Oak Harbor School District,2696,Oak Harbor Elementary,PK,5,151 SE Midway Blvd.,Oak Harbor,Washington,98277-0000,(360)279-5102,Public School
18801,Olympic Educational Service District 114,16049,Chimacum School District,2697,Chimacum Elementary School,3,5,91 West Valley Rd,Chimacum,Washington,98325-0000,360.732.4471,Public School
17801,Puget Sound Educational Service District 121,17401,Highline School District,2699,Hazel Valley Elementary,PK,6,402 SW 132nd St,Burien,Washington,98146-3236,206.433.2434,Public School
17801,Puget Sound Educational Service District 121,17405,Bellevue School District,2701,Bellevue High School,9,12,10416 Wolverine Way,Bellevue,Washington,98004-6600,425.456.7000,Public School
17801,Puget Sound Educational Service District 121,17408,Auburn School District,2702,West Auburn Senior High School,9,12,401 W MAIN ST,AUBURN,Washington,98001-5275,253.931.4990,Alternative School w/ > 50% From Within District
17801,Puget Sound Educational Service District 121,17412,Shoreline School District,2703,Ridgecrest Elementary,K ,6,16516 10th Avenue N.E.,Shoreline,Washington,98155-5904,206.361.4272,Public School
34801,Educational Service District 113,21401,Centralia School District,2704,Fords Prairie Elementary,K ,3,1620 Harrison Avenue,Centralia,Washington,98531-4533,(360)330-7633,Public School
4801,North Central Educational Service District 171,24410,Oroville School District,2706,Oroville Middle-High School,7,12,1016 Ironwood,Oroville,Washington,98844-9519,509.476.3612,Public School
29801,Northwest Educational Service District 189,29103,Anacortes School District,2707,Anacortes Middle School,7,8,2202 M Avenue,Anacortes,Washington,98221-3799,360.293.9545,Public School
32801,Educational Service District 101,32081,Spokane School District,2708,Madison Elementary,K ,6,319 W Nebraska Ave,Spokane,Washington,99205-6299,509.354.3598,Public School
32801,Educational Service District 101,32363,West Valley School District (Spokane),2711,Millwood Early Childhood Center,PK,PK,8818 E GRACE,SPOKANE,Washington,99212-0000,509.922.5478,Public School
11801,Educational Service District 123,36401,Waitsburg School District,2712,Waitsburg Elementary School,K ,5,184 Academy,Waitsburg,Washington,99361-0217,509.337.6301,Public School
29801,Northwest Educational Service District 189,37503,Blaine School District,2713,Blaine Elementary School,3,5,836 MITCHELL AVE,BLAINE,Washington,98230-0000,360.332.5213,Public School
39801,Educational Service District 105,39002,Union Gap School District,2714,Union Gap School,PK,8,3201 South 4th Street,Union Gap,Washington,98903-1894,509.248.3966 ext.305,Public School
39801,Educational Service District 105,39007,Yakima School District,2715,Hoover Elementary School,K ,5,400 W Viola Ave,Yakima,Washington,98902-5697,509.573.5901,Public School
39801,Educational Service District 105,39119,Selah School District,2716,John Campbell Elementary School,PK,4,408 North First Street,Selah,Washington,98942-0000,509.697.0727,Public School
39801,Educational Service District 105,39201,Sunnyside School District,2717,Washington Elementary,1,5,800 E. Jackson Avenue,Sunnyside,Washington,98944-2197,(509) 837-3641,Public School
39801,Educational Service District 105,39203,Highland School District,2718,Highland Junior High School,7,9,17000 Summitview,Cowiche,Washington,98923-9719,509.678.7200,Public School
32801,Educational Service District 101,1160,Ritzville School District,2719,Ritzville Grade School,K ,8,401 E 6th Ave.,Ritzville,Washington,99169-1674,509.659.0232,Public School
11801,Educational Service District 123,3400,Richland School District,2721,Carmichael Middle School,6,8,620 Thayer Drive,Richland,Washington,99352-0000,509.967.6425,Public School
18801,Olympic Educational Service District 114,5323,Sequim School District,2722,Helen Haller Elementary School,K ,5,350 W. Fir Street,Sequim,Washington,98382-0000,360.582.3200,Public School
6801,Educational Service District 112,6037,Vancouver School District,2723,Minnehaha Elementary School,K ,5,2800 NE 54TH ST,VANCOUVER,WASHINGTON,98663-1945,360.313.2500,Public School
6801,Educational Service District 112,6114,Evergreen School District (Clark),2724,Evergreen High School,9,12,14300 NE 18th Street,Vancouver,Washington,98684-7807,360.604.3700,Public School
6801,Educational Service District 112,6117,Camas School District,2725,Helen Baller Elem,K ,5,1954 NE Garfield Street,Camas,Washington,98607-1143,360.833.5720,Public School
6801,Educational Service District 112,8122,Longview School District,2726,Olympic Elementary School,K ,5,1324 30th Avenue,Longview,Washington,98632-2799,360.575.7084,Public School
4801,North Central Educational Service District 171,9206,Eastmont School District,2727,Eastmont Senior High,10,12,955 3rd Street NE,East Wenatchee,Washington,98802-4999,509.884.6665,Public School
34801,Educational Service District 113,14064,North Beach School District,2728,North Beach Senior High School,9,12,336 State Route 115,Ocean Shores,Washington,98569-0000,360.289.3888,Public School
17801,Puget Sound Educational Service District 121,17001,Seattle Public Schools,2729,Eckstein Middle School,6,8,3003 NE 75 ST,SEATTLE,Washington,98115-4709,206.252.5010,Public School
17801,Puget Sound Educational Service District 121,17001,Seattle Public Schools,2730,Arbor Heights Elementary School,K ,5,3701 SW 104 ST,SEATTLE,Washington,98146-1151,206.252.9250,Public School
17801,Puget Sound Educational Service District 121,17001,Seattle Public Schools,2733,Lafayette Elementary School,K ,5,2645 CALIFORNIA AV SW,SEATTLE,Washington,98116-2404,206.252.9500,Public School
17801,Puget Sound Educational Service District 121,17401,Highline School District,2734,McMicken Heights Elementary,PK,6,3708 S 168th St,SeaTac,Washington,98188-3149,206.433.2276,Public School
17801,Puget Sound Educational Service District 121,17411,Issaquah School District,2738,Clark Elementary,K ,5,500 2ND AVE SE,ISSAQUAH,Washington,98027-4315,425.837.6300,Public School
17801,Puget Sound Educational Service District 121,17414,Lake Washington School District,2739,Lake Washington High,10,12,12033 NE 80TH,Kirkland,Washington,98033-8117,425.936.1700,Public School
39801,Educational Service District 105,19401,Ellensburg School District,2741,Lincoln Elementary,K ,5,200 S. Sampson,Ellensburg,Washington,98926-0000,509.925.8052,Public School
32801,Educational Service District 101,22204,Harrington School District,2743,Harrington Elementary School,K ,6,100 S First,Harrington,Washington,99134-0204,509.253.4331,Public School
34801,Educational Service District 113,23042,Southside School District,2744,Southside Elementary,K ,7,161 SE COLLIER RD,SHELTON,Washington,98584-8367,360.426.8437,Public School
34801,Educational Service District 113,23309,Shelton School District,2745,Evergreen Elementary School,PK,5,900 W. Franklin St.,Shelton,Washington,98584-2551,(360) 426-8281,Public School
17801,Puget Sound Educational Service District 121,27010,Tacoma School District,2746,Geiger,K ,5,621 S Jackson Ave,Tacoma,Washington,98465-0000,253.571.6800,Public School
17801,Puget Sound Educational Service District 121,27010,Tacoma School District,2747,Downing,PK,5,2502 N Orchard St,Tacoma,Washington,98406-0000,253.571.7100,Public School
17801,Puget Sound Educational Service District 121,27403,Bethel School District,2748,Kapowsin Elementary,K ,6,10412 264th Street East,Graham,Washington,98338-8795,(253) 683-8600,Public School
29801,Northwest Educational Service District 189,28137,Orcas Island School District,2749,Orcas Island Elementary School,K ,6,611 SCHOOL RD,EASTSOUND,Washington,98245-0000,360.376.2286,Public School
29801,Northwest Educational Service District 189,28137,Orcas Island School District,2750,Orcas Island High School,9,12,715 SCHOOL RD,EASTSOUND,Washington,98245-0000,360.376.2287,Public School
29801,Northwest Educational Service District 189,31002,Everett School District,2751,Jackson Elementary School,K ,5,3700 Federal Ave,Everett,Washington,98201-4698,425.385.5600,Public School
29801,Northwest Educational Service District 189,31002,Everett School District,2752,Whittier Elementary,PK,5,916 Oakes Ave.,Everett,Washington,98201-1399,425.385.4300,Public School
34801,Educational Service District 113,34003,North Thurston Public Schools,2754,South Bay Elementary,K ,6,3845 Sleater Kinney Rd NE,Lacey,Washington,98506-2699,360.412.4640,Public School
39801,Educational Service District 105,39200,Grandview School District,2756,Thompson Elementary School,PK,5,1105 W 2nd ST,Grandview,Washington,98930-0000,509.882.8550,Public School
39801,Educational Service District 105,39207,Wapato School District,2757,Satus Elementary,PK,5,910 S. Camas Avenue,Wapato,Washington,98951-1479,509.877.2177,Public School
39801,Educational Service District 105,39208,West Valley School District (Yakima),2758,Mountainview Elementary,K ,4,830 Stone Rd,Yakima,Washington,98908-9115,509.965.2070,Public School
11801,Educational Service District 123,3052,Kiona-Benton City School District,2759,Kiona-Benton City Primary School,PK,3,913 Horne Drive,Benton City,Washington,99320-9705,509.588.2090,Public School
4801,North Central Educational Service District 171,4228,Cascade School District,2760,Peshastin Dryden Elementary,PK,2,10001 School St,Peshastin,Washington,98847-0373,509.548.5832,Public School
6801,Educational Service District 112,8401,Castle Rock School District,2762,Castle Rock Elementary,PK,6,700 HUNTINGTON AVE S,CASTLE ROCK,Washington,98611-0000,360.501.3134,Public School
34801,Educational Service District 113,14005,Aberdeen School District,2763,Robert Gray Elementary,PK,6,1516 North B St,Aberdeen,Washington,98520-2099,360.538.2141,Public School
17801,Puget Sound Educational Service District 121,17401,Highline School District,2765,Beverly Park Elem at Glendale,PK,6,1201 S 104th St,Seattle,Washington,98168-1549,(206) 433-2508,Public School
39801,Educational Service District 105,19403,Kittitas School District,2766,Kittitas High School,6,12,7571 Kittitas Highway,Kittitas,Washington,98934-1079,509.968.3902,Public School
39801,Educational Service District 105,19403,Kittitas School District,2766,Kittitas High School,6,12,7571 Kittitas Highway,Kittitas,Washington,98934-1079,509.968.3902,Public School
34801,Educational Service District 113,21401,Centralia School District,2768,Washington Elementary School,K ,6,800 Field Street,Centralia,Washington,98531-3824,360.300.7641,Public School
32801,Educational Service District 101,22105,Odessa School District,2769,P C Jantz Elementary,PK,6,311 SOUTH FIRST STREET,ODESSA,Washington,99159-0248,(509) 982-2111,Public School
32801,Educational Service District 101,26059,Cusick School District,2770,Bess Herian Elementary,K ,6,305 MONUMENTAL WAY,CUSICK,Washington,99119-0000,(509)445-1125,Public School
17801,Puget Sound Educational Service District 121,27010,Tacoma School District,2771,Lister,PK,5,2106 E 44th St,Tacoma,Washington,98404-0000,253.571.2900,Public School
17801,Puget Sound Educational Service District 121,27010,Tacoma School District,2772,Fawcett,K ,5,126 E 60th St,Tacoma,Washington,98404-0000,253.571.4700,Public School
17801,Puget Sound Educational Service District 121,27417,Fife School District,2773,Fife High School,10,12,5616 20th St E,Tacoma,Washington,98424-2026,253.517.1100,Public School
29801,Northwest Educational Service District 189,29101,Sedro-Woolley School District,2774,Mary Purcell Elementary School,K ,6,700 Bennett Street,Sedro-Woolley,Washington,98284-0000,360.855.3555,Public School
32801,Educational Service District 101,32356,Central Valley School District,2776,North Pines Middle School,6,8,701 N. Pines Rd.,Spokane,Washington,99206-4995,(509)228-5022,Public School
34801,Educational Service District 113,34111,Olympia School District,2778,Roosevelt Elementary School,K ,5,1417 SAN FRANCISCO AVE NE,OLYMPIA,Washington,98506-4399,360.596.6700,Public School
11801,Educational Service District 123,36140,Walla Walla Public Schools,2780,Pioneer Middle School,6,8,450 BRIDGE ST,WALLA WALLA,Washington,99362-3599,509.527.3050,Public School
39801,Educational Service District 105,39205,Zillah School District,2783,Hilton Elementary School,PK,3,211 Fourth Avenue,Zillah,Washington,98953-9533,(509) 829-5400,Public School
11801,Educational Service District 123,3400,Richland School District,2785,Chief Joseph Middle School,6,8,504 Wilson,Richland,Washington,99352-0000,509.967.6401,Public School
11801,Educational Service District 123,3400,Richland School District,2786,Jason Lee Elementary School,PK,5,1702 Van Giesen,Richland,Washington,99352-0000,509.967.6475,Public School
4801,North Central Educational Service District 171,4222,Cashmere School District,2787,Vale Elementary School,PK,4,101 Pioneer Avenue,Cashmere,Washington,98815-1225,509.782.3355,Public School
4801,North Central Educational Service District 171,9075,Bridgeport School District,2788,Bridgeport High School,9,12,1220 Kryger Ave,BRIDGEPORT,Washington,98813-0000,509.686.8770,Public School
32801,Educational Service District 101,10309,Republic School District,2789,Republic Elementary School,K ,5,30306 E HIGHWAY 20,REPUBLIC,Washington,99166,509.775.3327,Public School
11801,Educational Service District 123,11001,Pasco School District,2790,Longfellow Elementary,1,5,301 NORTH 10TH AVENUE,PASCO,Washington,99301-0000,509.547.2429,Public School
4801,North Central Educational Service District 171,13146,Warden School District,2792,Warden Elementary,PK,5,101 W. BECK WAY,WARDEN,Washington,98857-9401,509.349.2311,Public School
4801,North Central Educational Service District 171,13165,Ephrata School District,2793,Columbia Ridge Elementary,K ,4,60 H SE,EPHRATA,Washington,98823-0000,509.754.2882,Public School
17801,Puget Sound Educational Service District 121,17408,Auburn School District,2795,Auburn Senior High School,9,12,800 4TH ST NE,AUBURN,Washington,98002-5018,253.931.4880,Public School
17801,Puget Sound Educational Service District 121,17414,Lake Washington School District,2796,Juanita Elementary,K ,6,9635 NE 132nd,Kirkland,Washington,98034-5910,425.823.8136,Public School
17801,Puget Sound Educational Service District 121,17415,Kent School District,2797,Kent-Meridian High School,9,12,10020 SE 256th ST,Kent,Washington,98030-6408,253.373.7405,Public School
18801,Olympic Educational Service District 114,18400,North Kitsap School District,2798,David Wolfle Elementary,PK,5,27089 HIGHLAND RD NE,KINGSTON,Washington,98346-8408,360.394.6802,Public School
34801,Educational Service District 113,21302,Chehalis School District,2799,W F West High School,9,12,342 SW 16th Street,Chehalis,Washington,98532-3809,360.807.7235,Public School
4801,North Central Educational Service District 171,24111,Brewster School District,2800,Brewster High School,9,12,503 S. 7th St.,BREWSTER,Washington,98812-0000,509.689.3449,Public School
4801,North Central Educational Service District 171,13301,Grand Coulee Dam School District,2801,Lake Roosevelt High School,9,12,500 CIVIC WAY,COULEE DAM,Washington,99116-0000,509.633.1442,Public School
4801,North Central Educational Service District 171,13301,Grand Coulee Dam School District,2802,Center Elementary School,PK,4,317 Spokane Way,Grand Coulee,Washington,99133-0000,509.633.0730,Public School
34801,Educational Service District 113,25116,Raymond School District,2803,Raymond Elementary School,K ,6,1016 COMMERCIAL STREET,RAYMOND,Washington,98577-0000,360.942.2435,Public School
34801,Educational Service District 113,25118,South Bend School District,2804,Chauncey Davis Elementary,K ,6,500 E. 1st,SOUTH BEND,Washington,98586-0437,(360)  875 5615,Public School
17801,Puget Sound Educational Service District 121,27010,Tacoma School District,2805,Lowell,K ,5,810 N 13th St,Tacoma,Washington,98403-0000,253.571.7200,Public School
17801,Puget Sound Educational Service District 121,27010,Tacoma School District,2806,Reed,PK,5,1802 S 36th St,Tacoma,Washington,98418-0000,253.571.2072,Public School
17801,Puget Sound Educational Service District 121,27403,Bethel School District,2807,Bethel High School,10,12,22215 38th Avenue East,Spanaway,Washington,98387-6828,253.683.7000,Public School
17801,Puget Sound Educational Service District 121,27404,Eatonville School District,2808,Columbia Crest Elementary School,K ,6,24503 State Route 706 E,Ashford,Washington,98304-9703,360.569.2567,Public School
17801,Puget Sound Educational Service District 121,27417,Fife School District,2809,Endeavour Intermediate,2,5,1304 17th Avenue,Milton,Washington,98354-9125,253.517.1400,Public School
29801,Northwest Educational Service District 189,29011,Concrete School District,2810,Concrete High School,9,12,7830 S. Superior Avenue,Concrete,Washington,98237-9340,(360) 853-8143,Public School
29801,Northwest Educational Service District 189,31002,Everett School District,2811,Lowell Elementary,PK,5,5010 View Dr.,Everett,Washington,98203-2422,425.385.5300,Public School
29801,Northwest Educational Service District 189,31025,Marysville School District,2813,Totem Middle School,6,8,1605 7th St,Marysville,Washington,98270-4672,360.653.0610,Public School
32801,Educational Service District 101,32360,Cheney School District,2814,Sunset Elementary,PK,5,12824 W 12th St.,AIRWAY HEIGHTS,Washington,99001-1869,509.559.4601,Public School
34801,Educational Service District 113,34033,Tumwater School District,2816,Littlerock Elementary School,K ,6,12710 Littlerock Rd SW,Olympia,Washington,98512-0000,360.709.7250,Public School
29801,Northwest Educational Service District 189,37501,Bellingham School District,2817,Carl Cozier Elementary School,PK,5,1330 Lincoln St,Bellingham,Washington,98229-6238,360.676.6410,Public School
39801,Educational Service District 105,39007,Yakima School District,2818,Gilbert Elementary School,K ,5,4400 Douglas Dr,Yakima,Washington,98908-2699,509.573.5801,Public School
39801,Educational Service District 105,39007,Yakima School District,2819,Nob Hill Elementary School,K ,5,801 S 34th Ave,Yakima,Washington,98902-3999,509.573.1501,Public School
39801,Educational Service District 105,39090,East Valley School District (Yakima),2821,Terrace Heights Elementary,K ,5,4300 Maple Court,Yakima,Washington,98901-0000,((57) 3) -7820,Public School
39801,Educational Service District 105,39208,West Valley School District (Yakima),2822,Ahtanum Valley Elementary,K ,4,3006 S Wiley Rd,Yakima,Washington,98908-9743,509.965.2031,Public School
11801,Educational Service District 123,2250,Clarkston School District,2823,Parkway Elementary,K ,6,1103 4th St,Clarkston,Washington,99403-2603,509.758.2553,Public School
11801,Educational Service District 123,3017,Kennewick School District,2824,Eastgate Elementary School,PK,5,910 EAST 10TH AVENUE,KENNEWICK,Washington,99336-5926,509.222.6521,Public School
11801,Educational Service District 123,3017,Kennewick School District,2825,Westgate Elementary School,PK,5,2514 WEST 4TH AVENUE,KENNEWICK,Washington,99336-3180,509.222.6304,Public School
11801,Educational Service District 123,3017,Kennewick School District,2826,Kennewick High School,9,12,500 SOUTH DAYTON STREET,KENNEWICK,Washington,99336-5674,509.222.6475,Public School
4801,North Central Educational Service District 171,4228,Cascade School District,2827,Osborn Elementary,3,5,225 Central Ave,Leavenworth,Washington,98826-1215,509.548.5839,Public School
6801,Educational Service District 112,6037,Vancouver School District,2828,Walnut Grove Elementary,K ,5,6103 NE 72ND AVE,VANCOUVER,Washington,98661-1998,360.313.3000,Public School
6801,Educational Service District 112,6114,Evergreen School District (Clark),2829,Mill Plain Elementary School,K ,5,400 SE 164th Avenue,Vancouver,Washington,98684-9611,360.604.6800,Public School
11801,Educational Service District 123,7002,Dayton School District,2830,Dayton Elementary School,PK,6,302 E Park,Dayton,Washington,99328-1596,(509) 382-2507,Public School
6801,Educational Service District 112,8122,Longview School District,2831,Monticello Middle School,6,8,1225 28th Avenue,Longview,Washington,98632-2768,360.575.7050,Public School
4801,North Central Educational Service District 171,13161,Moses Lake School District,2832,Peninsula Elementary,K ,5,2406 W. TEXAS STREET,MOSES LAKE,Washington,98837-0000,(509) 766-658 ,Public School
4801,North Central Educational Service District 171,13161,Moses Lake School District,2833,Knolls Vista Elementary,K ,5,454 W RIDGE ROAD,MOSES LAKE,Washington,98837-0000,509.766.2652,Public School
34801,Educational Service District 113,14005,Aberdeen School District,2834,A J West Elementary,PK,6,1801 Bay Ave.,Aberdeen,Washington,98520-5510,360.538.2131,Public School
34801,Educational Service District 113,14065,McCleary School District,2835,Mccleary Elem,PK,8,611 S. Main St.,McCleary,Washington,98557-9524,360.495.3204,Public School
18801,Olympic Educational Service District 114,16046,Brinnon School District,2836,Brinnon Elementary,K ,8,46 SCHOOLHOUSE RD,BRINNON,Washington,98320,360.796.4646,Public School
17801,Puget Sound Educational Service District 121,17001,Seattle Public Schools,2838,Catharine Blaine K-8 School,K ,8,2550 34 AV W,SEATTLE,Washington,98199-3240,206.252.1920,Public School
17801,Puget Sound Educational Service District 121,17001,Seattle Public Schools,2839,David T. Denny International School,6,8,8402 30 AV SW,SEATTLE,Washington,98126-3711,(206) 252-9000,Public School
17801,Puget Sound Educational Service District 121,17210,Federal Way School District,2841,Lakeland Elementary School,PK,5,35827 32ND AV S,AUBURN,Washington,98001-9327,253.945.3000,Public School
17801,Puget Sound Educational Service District 121,17401,Highline School District,2842,Shorewood Elementary,PK,6,2725 SW 116th St,Burien,Washington,98146-3499,206.631.4900,Public School
17801,Puget Sound Educational Service District 121,17401,Highline School District,2844,Gregory Heights Elementary,PK,6,16216 19th Ave SW,Burien,Washington,98166-2799,(206) 433-2323,Public School
17801,Puget Sound Educational Service District 121,17405,Bellevue School District,2846,Enatai Elementary School,K ,5,10615 SE 23rd Street,Bellevue,Washington,98004-7200,425.456.5200,Public School
17801,Puget Sound Educational Service District 121,17405,Bellevue School District,2847,Clyde Hill Elementary,K ,5,9601 NE 24th Street,Bellevue,Washington,98004-2100,425.456.5000,Public School
17801,Puget Sound Educational Service District 121,17406,Tukwila School District,2848,Foster Senior High School,9,12,4242 S 144th St,Tukwila,Washington,98168-0000,206.901.7905,Public School
17801,Puget Sound Educational Service District 121,17409,Tahoma School District,2849,Tahoma Senior High School,10,12,18200 SE 240th Street,Covington,Washington,98042-4818,425.413.6201,Public School
17801,Puget Sound Educational Service District 121,17410,Snoqualmie Valley School District,2850,Mount Si High School,9,12,8651 MEADOWBROOK WAY SE,SNOQUALMIE,Washington,98065-0000,425.831.8100,Public School
17801,Puget Sound Educational Service District 121,17415,Kent School District,2851,East Hill Elementary School,K ,6,9825 S 240th ST,Kent,Washington,98031-4842,253.373.7455,Public School
18801,Olympic Educational Service District 114,18100,Bremerton School District,2853,View Ridge Elementary School,K ,5,3250 Spruce Avenue,Bremerton,Washington,98310-3554,360.473.4500,Public School
18801,Olympic Educational Service District 114,18400,North Kitsap School District,2854,Hilder Pearson Elementary,K ,5,15650 CENTRAL VALLEY RD NW,POULSBO,Washington,98370-8147,360.394.6650,Public School
18801,Olympic Educational Service District 114,18400,North Kitsap School District,2854,Hilder Pearson Elementary,K ,5,15650 CENTRAL VALLEY RD NW,POULSBO,Washington,98370-8147,360.394.6650,Public School
39801,Educational Service District 105,20404,Goldendale School District,2856,Goldendale High School,9,12,525 SIMCOE DR.,GOLDENDALE,Washington,98620-9299,509 773 5846,Public School
34801,Educational Service District 113,21301,Pe Ell School District,2858,Pe Ell School,PK,12,519 N. 2nd Street,Pe Ell,Washington,98572-0000,360.291.3244,Public School
34801,Educational Service District 113,21303,White Pass School District,2859,White Pass Jr. Sr. High School,7,12,516 Silverbrook Road,Randle,Washington,98377,360.497.5816 ext.302,Public School
32801,Educational Service District 101,22017,Almira School District,2860,Almira Elementary School,K ,8,310 S 3RD ST,ALMIRA,Washington,99103-9711,509.639.2414,Public School
32801,Educational Service District 101,22073,Creston School District,2862,Creston Elementary,K ,6,485 SE E Street,Creston,Washington,99117-0017,509-636-2721,Public School
32801,Educational Service District 101,22073,Creston School District,2863,Creston Jr-Sr High School,7,12,485 SE E Street,Creston,Washington,99117-0017,509-636-2721,Public School
32801,Educational Service District 101,22009,Reardan-Edwall School District,2864,Reardan Elementary School,K ,6,250 S ASPEN,REARDAN,Washington,99029-0000,(509) 796-2511,Public School
34801,Educational Service District 113,23402,Pioneer School District,2865,Pioneer Intermediate/Middle School,4,8,611 E AGATE RD.,SHELTON,Washington,98584-7306,360.426.8291,Public School
6801,Educational Service District 112,25155,Naselle-Grays River Valley School District,2868,Naselle Elementary,K ,5,793 SR 4,NASELLE,Washington,98638-0000,360.484.7121,Public School
17801,Puget Sound Educational Service District 121,27003,Puyallup School District,2870,Karshner Elementary,PK,6,1328 8th Ave NW,Puyallup,Washington,98371-4036,253.841.8736,Public School
17801,Puget Sound Educational Service District 121,27010,Tacoma School District,2871,Edison,PK,5,5830 S Pine St,Tacoma,Washington,98409-0000,253.571.1700,Public School
